webname,to_parse_whole_website,to_parse_orginsite,to_clean_data,timestamp, debunking_address
emergent,False,True,False,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
emergent,False,False,False,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
emergent,False,False,False,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
emergent,False,False,False,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
emergent,False,True,False,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
emergent,False,True,False,2018-9-10,http://www.emergent.info/20-year-old-McDonalds-burger
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
politifact,True,False,False,2018-9-10,
snopes,True,False,False,2018-9-10,
politifact,True,False,False,2018-9-10,
politifact,True,False,False,2018-9-10,
emergent,True,False,False,2018-9-10,
emergent,True,True,False,2018-9-10,
emergent,True,True,True,2018-9-10,
snopes,False,False,False,2018-9-10,https://www.snopes.com/fact-check/mccain-carried-air-force-two/
snopes,False,True,True,2018-9-10,https://www.snopes.com/fact-check/mccain-carried-air-force-two/
politifact,False,True,True,2018-9-10,https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/
emergent,False,True,True,2018-9-10,http://www.emergent.info/disney-collector-is-former-porn-star
politifact,False,True,True,2018-9-10,https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/
snopes,False,True,True,2018-9-23,https://www.snopes.com/fact-check/irish-slaves-us-photo/
snopes,True,True,True,2018-9-23,
snopes,False,True,True,2018-9-23,https://www.snopes.com/ap/2018/09/23/3d-gun-advocate-accused-sex-minor-jailed-u-s/
emergent,True,True,True,2018-9-23,
snopes,False,False,False,2018-9-23,https://www.snopes.com/ap/2018/09/23/3d-gun-advocate-accused-sex-minor-jailed-u-s/
snopes,False,False,False,2018-9-23,https://www.snopes.com/fact-check/irish-slaves-us-photo/
snopes,False,False,False,2018-9-23,https://www.snopes.com/fact-check/irish-slaves-us-photo/
politifact,True,False,False,2018-9-23,
snopes,False,False,False,2018-9-23,https://www.snopes.com/fact-check/irish-slaves-us-photo/
snopes,True,False,False,2018-11-1,
snopes,True,False,False,2018-11-1,
snopes,True,True,True,2018-11-1,
